DATE	OPEN	HIGH	LOW	CLOSE	RETURN	DISCREPANCY	VOL_INST	VOL_IND	VOL_FOR
2012-10-22	11605	12010	11575	11975	-0.7	-0.215900294	197738	-29261	-237251
2012-10-23	11985	12020	11765	11765	-1.75	-0.020395329	-1161242	1659011	-575890
2012-10-24	11565	11705	11460	11580	-1.57	0.141131543	-4309723	5110450	-867554
2012-10-25	11480	11735	11430	11735	1.34	-0.163600678	-1742261	1346660	297352
2012-10-26	11605	11680	11315	11320	-3.54	0.039149597	-7652754	8592901	-1141995
2012-10-29	11405	11480	11305	11365	0.4	-0.189609005	223171	-1557404	1292461
2012-10-30	11375	11650	11360	11430	0.57	-0.15758156	2135293	-931239	-1105742
2012-10-31	11600	11675	11555	11580	1.31	-0.008721174	1204364	-1503451	265401
2012-11-01	11435	11460	11240	11345	-2.03	-0.284687437	-6567113	6385099	113290
2012-11-02	11610	11680	11570	11645	2.64	-0.063077405	7462874	-7421567	21316
2012-11-05	11490	11605	11460	11510	-1.16	-0.066506565	-2199907	2670452	-514963
2012-11-06	11535	11775	11510	11770	2.26	-0.009005136	1900102	-1927782	-44829
2012-11-07	11810	11880	11605	11880	0.93	-0.075027841	-607566	-119624	796714
2012-11-08	11565	11645	11455	11520	-3.03	0.200836573	-4506024	5575167	-1173858
2012-11-09	11260	11430	11075	11380	-1.22	-0.319538071	-4442536	4076383	142564
2012-11-12	11320	11395	11245	11365	-0.13	-0.284712809	-658833	611880	15685
2012-11-13	11400	11405	11135	11220	-1.28	-0.300431587	-5690375	4504518	1027508
2012-11-14	11230	11325	11155	11325	0.94	-0.159920445	2997739	-2352644	-619049
2012-11-15	11050	11085	10935	11030	-2.6	0.038636862	-8001077	7444387	266990
2012-11-16	10950	11035	10900	10910	-1.09	-0.185813577	-2490458	3130706	-761750
2012-11-19	11015	11240	11010	11160	2.29	-0.074585905	4263642	-3648609	-385308
2012-11-20	11385	11390	11260	11305	1.3	-0.285164144	1265698	-2151990	1068484
2012-11-21	11390	11425	11170	11235	-0.62	-0.150196856	467396	-601162	122902
2012-11-22	11380	11530	11365	11475	2.14	-0.156356451	6522099	-5910674	-471709
2012-11-23	11480	11640	11445	11640	1.44	-0.220988224	2747982	-3146923	406758
2012-11-26	11695	11710	11565	11585	-0.47	-0.309355087	-349847	592903	-219885
2012-11-27	11710	11890	11670	11855	2.33	0.058321637	8956304	-8538377	-26927
2012-11-28	11700	11730	11620	11680	-1.48	-0.23276175	-1911834	1308016	586717
2012-11-29	11775	11975	11775	11955	2.35	-0.14016295	5861724	-5572407	-232892
2012-11-30	11910	12090	11875	11975	0.17	-0.076851123	2303468	-2873445	669500
2012-12-03	12000	12105	11960	12000	0.21	-0.328335076	1830726	-1381998	-427574
2012-12-04	11915	11980	11850	11940	-0.5	-0.119455124	623809	-787909	169794
2012-12-05	11930	12150	11905	12110	1.42	-0.282108585	2926670	-2823138	32597
2012-12-06	12110	12235	12090	12165	0.45	-0.201975123	2192446	-2139459	44587
2012-12-07	12190	12355	12185	12310	1.19	-0.299990929	7020368	-7818155	1331471
2012-12-10	12375	12470	12300	12315	0.04	-0.292523842	1301635	-1233140	-12632
2012-12-11	12350	12410	12310	12405	0.73	-0.275578651	1619085	-1769681	93525
2012-12-12	12520	12570	12480	12565	1.29	-0.503539983	1849900	-2686470	834703
2012-12-13	12570	12860	12565	12855	2.31	-0.444919438	4426981	-7305959	3007297
2012-12-14	12720	12975	12700	12890	0.27	-0.225170658	1915479	-2080939	130703
2012-12-17	12880	12925	12710	12710	-1.4	-0.256695789	-704270	962023	-300336
2012-12-18	12825	12860	12615	12845	1.06	-0.261827262	363657	-685384	262766
2012-12-20	12895	12985	12835	12840	-0.04	-0.290199008	575380	-247881	-349171
2012-12-21	12945	12965	12615	12620	-1.71	-0.416404622	-818145	712332	108762
2012-12-24	12600	12720	12600	12685	0.52	-0.334079224	2560245	-1939570	287955
2012-12-26	12810	12935	12675	12700	0.12	-0.161078701	2612881	-2105882	-469330
2012-12-27	12700	12880	12650	12855	1.22	-0.37177487	1633968	-708010	-1050930
2012-12-28	12840	13025	12790	12970	0.89	-0.592535933	2299147	-2069782	-204878
2013-01-02	13175	13515	13170	13495	4.05	-0.48830415	3691593	-4962133	533586
2013-01-03	13700	13725	13400	13400	-0.7	-0.112261891	-1096474	1690149	-840853
2013-01-04	13375	13425	13160	13195	-1.53	-0.452809577	-2237922	1656055	406086
2013-01-07	13210	13265	13025	13220	0.19	-0.221896841	556687	-564570	81739
2013-01-08	13135	13200	12955	12960	-1.97	-0.31996062	-1821953	2696262	-951839
2013-01-09	12995	13085	12830	12850	-0.85	-0.351368056	-738986	1042696	-269513
2013-01-10	12875	13135	12780	13080	1.79	-0.092498459	527023	-199915	-384973
2013-01-11	13255	13260	12710	12910	-1.3	-0.199755099	-3393422	3067400	125399
2013-01-14	12840	13075	12760	13050	1.08	-0.263365855	1420671	-1321506	16786
2013-01-15	12995	13215	12750	12765	-2.18	-0.089930803	-3785777	4812675	-148252
2013-01-16	12835	12900	12510	12570	-1.53	-0.47182846	-2060069	2286973	112454
2013-01-17	12710	12740	12445	12595	0.2	-0.348838405	-1276357	917070	300240
2013-01-18	12810	12820	12560	12690	0.75	-0.443649458	-338635	621304	-399652
2013-01-21	12700	12840	12505	12735	0.35	-0.036735617	1257749	-975923	-334631
2013-01-22	12755	12880	12655	12880	1.14	-0.127322156	485701	-1065759	444795
2013-01-23	12920	13000	12630	12630	-1.94	-0.282650918	-3824928	3929931	-106215
2013-01-24	12565	12660	12390	12415	-1.7	-0.254044873	-8274540	8575401	-544024
2013-01-25	12445	12470	12060	12140	-2.22	-0.196893279	-12845453	12470716	158535
2013-01-28	12045	12140	11970	12075	-0.54	-0.147690455	-3810158	3360176	163824
2013-01-29	12135	12325	12090	12290	1.78	-0.05838737	2955242	-2437680	-512031
2013-01-30	12350	12465	12195	12370	0.65	-0.329709643	1408570	-1839923	313605
2013-01-31	12280	12365	12235	12315	-0.44	-0.312782305	-1049114	841771	178465
2013-02-01	12340	12460	12080	12285	-0.24	-0.266686151	1107345	-717520	-574816
2013-02-04	12385	12440	12205	12210	-0.61	-0.208409955	-3258826	2827373	433703
2013-02-05	12050	12095	11895	12015	-1.6	-0.120287926	-4757287	5107017	-538547
2013-02-06	12090	12095	11965	11985	-0.25	-0.058538928	-2798957	2273561	458427
2013-02-07	11995	12130	11905	11975	-0.08	0.030740136	-49800	426260	-386248
2013-02-08	11915	12310	11895	12240	2.21	-0.273027031	4629462	-4411563	-222846
2013-02-12	12305	12315	12165	12190	-0.41	-0.234804222	-3154821	2760393	286189
2013-02-13	12280	12660	12265	12650	3.77	-0.036034441	9298261	-9450634	230056
2013-02-14	12650	12815	12595	12710	0.47	-0.108458165	315086	-1394990	1092692
2013-02-15	12725	12755	12640	12700	-0.08	-0.119699069	93620	249950	-314900
2013-02-18	12635	12770	12545	12670	-0.24	-0.231035629	-576147	914723	-329908
2013-02-19	12685	12840	12640	12750	0.63	-0.166623862	1906437	-2122153	365526
2013-02-20	12875	13325	12845	13295	4.27	-0.207166769	16235355	-16755113	865567
2013-02-21	13175	13280	13150	13180	-0.86	-0.233293618	602118	381095	-968647
2013-02-22	13105	13415	13095	13225	0.34	-0.244391811	976853	-838889	-95075
2013-02-25	13255	13325	13115	13135	-0.68	-0.030063285	-1720905	2038699	-303953
2013-02-26	12935	13095	12880	12995	-1.07	-0.171233798	-1661704	953940	694161
2013-02-27	13070	13120	12930	13010	0.12	-0.146135095	215982	-521496	293211
2013-02-28	13190	13385	13165	13290	2.15	-0.157689248	4139700	-4239694	115540
